CompanyCode;CompanyCodeDescription
0001;Sales Org. 001
0003;
2160U01;Ancon UK
2161U01;Ancon Australia
2162U01;Halfen Austria SU
2164U01;Ancon Germany SU
2165U01;Leviat Middle East
2166U01;Leviat New Zealand
2167U01;Ancon Australia Helifix
2173U01;Isedio UK
2174U01;Isedio Australia
2175U01;Ancon Australia Conolly
5300U01;Halfen GmbH
5302U01;Halfen International SU
5303U01;Halfen Germany SU
5307U01;Halfen France SU
5308U01;Halfen Sweden SU
5309U01;Halfen Belgium SU
5310U01;Halfen UK SU
5314U01;Halfen Netherlands SU
5315U01;Halfen Italy SU
5316U01;Halfen Poland SU
5317U01;Halfen Czechia SU
5321U01;Halfen Poland
5325U01;Halfen Norway SU
5327U01;Halfen China SU
5331U01;Leviat Malaysia
5332U02;Leviat India
5333U01;Leviat Singapore
5334U01;Leviat Philippines
AT35;Leviat Austria
CH35;Leviat Switzerland
CN35;Leviat China
CZ35;Leviat Czech
DE35;Leviat Germany
ES35;Leviat Spain
FI01;Leviat Finland
IT35;Leviat Italy
NL35;Leviat Netherlands
NO35;Leviat Norway
PL35;Leviat Poland
S038U01;Plaka Belgium
S059U01;Plaka France
S060U01;Halfen Spain SU
S071U01;Halfen Switzerland SU
SE35;Leviat Sweden