SITEID,DATAAREAID,NAME
0000S,0000,Site Halfen Master Data Company
5300A,5300,Site Leviat Artern
5300L,5300,Site Leviat Langenfeld
5300N,5300,Site Leviat Kalisz
5302S,5302,Site Halfen International Sales Unit
5303S,5303,Site Halfen Germany Sales Unit
5304S,5304,Default Site
5307S,5307,Site Halfen France Sales Unit
5308D,5308,Site Denmark - Halfen Sweden SU
5308F,5308,Site Finland - Halfen Sweden SU
5308S,5308,Site Leviat Sweden Sales Unit
5309D,5309,Site Halfen Belgium Repr. Germany
5309S,5309,Site Halfen Belgium Sales Unit
5310S,5310,Site Leviat UK Sales Unit
5311D,5311,Site Leviat Swiss Repr. Germany
5311S,5311,Site Leviat Swiss Sales Unit
5312S,5312,Default Site
5313D,5313,Site Leviat Austria Repr. Germany
5313S,5313,Site Leviat Austria Sales Unit
5314D,5314,Site Leviat NL Repr. Germany
5314S,5314,Site Leviat Netherlands Sales Unit
5315S,5315,Site Leviat Italy Sales Unit
5316S,5316,Site Halfen Poland Sales Unit
5317S,5317,Site Leviat Czechia Sales Unit
5320S,5320,"Leviat Ibérica, S.L."
5321S,5321,Site Leviat Production Poland
5323S,5323,Default Site
5324S,5324,Default Site
5325S,5325,Site Leviat Norway Sales Unit
5326S,5326,Site CRH Distribution China Ltd.
5327S,5327,Site Halfen China Sales unit
5330S,5330,Site Halfen USA Sales Unit